Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Road_Type,Speed_limit,Junction_Detail,Junction_Control,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Year
3,2,1,02/07/2012,2,19:17,Single carriageway,30,0.0,Giveway or uncontrolled,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Wet/Damp,1,2012
3,2,1,15/07/2012,1,15:53,Single carriageway,30,0.0,Giveway or uncontrolled,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,1,2012
3,2,1,20/07/2012,6,16:50,Single carriageway,30,0.0,Automatic traffic signal,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight: Street light present,Fine without high winds,Dry,1,2012
3,1,1,26/06/2012,3,12:00,Single carriageway,30,0.0,Giveway or uncontrolled,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,1,2012
3,2,1,03/07/2012,3,17:13,Single carriageway,30,0.0,Automatic traffic signal,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight: Street light present,Fine without high winds,Dry,1,2012
3,2,1,06/07/2012,6,09:30,Single carriageway,30,0.0,Automatic traffic signal,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight: Street light present,Fine without high winds,Dry,1,2012
3,3,1,11/07/2012,4,19:10,Single carriageway,30,0.0,Automatic traffic signal,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight: Street light present,Raining without high winds,Wet/Damp,1,2012
3,2,1,15/06/2012,6,22:00,Single carriageway,30,0.0,Giveway or uncontrolled,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Fine without high winds,Dry,1,2012
3,2,1,09/07/2012,2,17:30,Single carriageway,30,0.0,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,1,2012
3,2,1,21/07/2012,7,10:40,Single carriageway,30,0.0,Giveway or uncontrolled,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,1,2012
3,2,1,30/07/2012,2,12:21,Single carriageway,30,0.0,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,1,2012
3,2,1,19/07/2012,5,19:29,Single carriageway,30,0.0,Giveway or uncontrolled,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,1,2012
3,2,1,02/08/2012,5,08:20,Single carriageway,30,0.0,Giveway or uncontrolled,None within 50 metres,Zebra crossing,Daylight: Street light present,Fine without high winds,Dry,1,2012
3,2,1,26/07/2012,5,06:27,Single carriageway,30,0.0,Giveway or uncontrolled,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,1,2012
3,1,1,05/07/2012,5,23:00,Single carriageway,30,0.0,Giveway or uncontrolled,None within 50 metres,Zebra crossing,Darkness: Street lights present and lit,Fine without high winds,Dry,1,2012
3,2,1,28/07/2012,7,09:30,Single carriageway,30,0.0,Giveway or uncontrolled,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,1,2012
3,2,2,31/07/2012,3,08:52,Single carriageway,30,0.0,Automatic traffic signal,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight: Street light present,Raining without high winds,Wet/Damp,1,2012
3,2,1,23/07/2012,2,17:45,One way street,30,0.0,Giveway or uncontrolled,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,1,2012
3,2,1,09/07/2012,2,09:04,Single carriageway,30,0.0,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,1,2012
3,2,1,06/08/2012,2,15:43,Single carriageway,30,0.0,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,1,2012
3,2,1,03/08/2012,6,23:30,Single carriageway,30,0.0,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Fine without high winds,Dry,1,2012
